usuario_id_fk,jogos_id_fk,favorito,avaliacao_usuario_jogos
44,1,0,0
44,2,0,0
44,3,0,5
44,4,0,2
44,5,0,0
44,6,0,3
44,7,0,0
44,8,0,0
44,9,0,0
44,10,0,5
44,11,0,0
44,12,0,0
44,13,0,0
44,14,0,3
44,15,0,4
44,16,0,1
44,17,0,0
44,18,0,0
44,19,0,0
44,20,0,0
44,21,0,0
44,22,0,0
44,23,0,0
44,24,0,0
44,25,0,0
44,26,0,0
44,27,0,0
44,28,0,0
45,1,0,0
45,2,0,0
45,3,0,3
45,4,0,0
45,5,0,2
45,6,0,5
45,7,0,4
45,8,0,0
45,9,0,0
45,10,0,0
45,11,0,0
45,12,0,0
45,13,0,0
45,14,0,0
45,15,0,3
45,16,0,2
45,17,0,0
45,18,0,2
45,19,0,0
45,20,0,0
45,21,0,0
45,22,0,0
45,23,0,3
45,24,0,0
45,25,0,0
45,26,0,0
45,27,0,5
45,28,0,0
46,1,0,3
46,2,0,4
46,3,0,1
46,4,0,0
46,5,0,0
46,6,0,0
46,7,0,0
46,8,0,0
46,9,0,3
46,10,0,5
46,11,0,0
46,12,0,0
46,13,0,4
46,14,0,0
46,15,0,4
46,16,0,3
46,17,0,0
46,18,0,5
46,19,0,0
46,20,0,0
46,21,0,2
46,22,0,0
46,23,0,1
46,24,0,0
46,25,0,4
46,26,0,0
46,27,0,0
46,28,0,0
47,1,0,0
47,2,0,0
47,3,0,0
47,4,0,0
47,5,0,0
47,6,0,0
47,7,0,0
47,8,0,0
47,9,0,0
47,10,0,2
47,11,0,0
47,12,0,0
47,13,0,0
47,14,0,0
47,15,0,0
47,16,0,0
47,17,0,0
47,18,0,0
47,19,0,0
47,20,0,0
47,21,0,0
47,22,0,0
47,23,0,0
47,24,0,0
47,25,0,0
47,26,0,0
47,27,0,0
47,28,0,0
